Staurosporine,high,0.06611305
Staurosporine,high,0.048760974
Staurosporine,high,0.033971978
Staurosporine,low,0.054141904
Staurosporine,low,0.028974351
Staurosporine,high,0.114968708
Staurosporine,high,0.023807546
Staurosporine,high,0.066174194
Staurosporine,high,0.03332215
Staurosporine,high,0.028472586
Staurosporine,high,0.039040835
Staurosporine,high,0.065052221
Staurosporine,low,0.056734579
Staurosporine,high,0.064793274
Staurosporine,high,0.038893041
Staurosporine,low,0.07230433
Staurosporine,low,0.027562746
Staurosporine,low,0.05432743
Staurosporine,high,0.04262848
Staurosporine,low,0.050304785
Staurosporine,low,0.053900776
Staurosporine,high,0.048053209
Staurosporine,low,0.045502106
Staurosporine,high,0.04690381
Staurosporine,low,0.026047735
Staurosporine,high,0.063975189
Staurosporine,high,0.057256563
Staurosporine,high,0.057341878
Staurosporine,high,0.073997449
Staurosporine,low,0.052183828
Staurosporine,low,0.039508326
Staurosporine,low,0.036981975
Staurosporine,high,0.108639288
Staurosporine,low,0.03386678
Staurosporine,low,0.05736014
Staurosporine,low,0.06780946
Staurosporine,high,0.047263288
Staurosporine,low,0.034602721
Staurosporine,high,0.052723437
Staurosporine,high,0.073284708
Staurosporine,low,0.040555759
Staurosporine,low,0.063767095
Staurosporine,high,0.056966538
Staurosporine,low,0.053907467
Staurosporine,low,0.043512406
Staurosporine,low,0.041214977
Staurosporine,high,0.025327125
Staurosporine,low,0.054925343
Staurosporine,high,0.032751857
Staurosporine,low,0.03765774
Staurosporine,high,0.041128422
Staurosporine,low,0.101619006
Staurosporine,low,0.044872004
Staurosporine,low,0.050705639
Staurosporine,low,0.068055454
Staurosporine,high,0.050213952
Staurosporine,low,0.042021414
Staurosporine,high,0.028306539
Staurosporine,low,0.050926141
Staurosporine,low,0.056947691
Staurosporine,low,0.048554574
Staurosporine,low,0.035185655
Staurosporine,high,0.063186506
Staurosporine,low,0.049170343
Staurosporine,high,0.035166511
Staurosporine,high,0.02867578
Staurosporine,high,0.035577708
Staurosporine,low,0.040167811
Staurosporine,high,0.031678407
Staurosporine,low,0.057266439
Staurosporine,low,0.044112467
Staurosporine,low,0.051516821
Staurosporine,low,0.048894181
Staurosporine,high,0.058302277
Staurosporine,low,0.059971716
Staurosporine,low,0.052851026
Staurosporine,low,0.041861072
Staurosporine,low,0.038623328
Staurosporine,low,0.055802883
Staurosporine,low,0.030828458
Staurosporine,low,0.033654373
Staurosporine,low,0.059308119
Staurosporine,high,0.045789826
