SampleName,class,CODE
GSM1855068,C2,LUAD
GSM1855070,C2,LUAD
GSM1855071,C2,LUAD
GSM1855072,C2,LUAD
GSM1855073,C2,LUAD
GSM1855076,C2,LUAD
GSM1855079,C2,LUAD
GSM1855080,C2,LUAD
GSM1855082,C2,LUAD
GSM1855087,C2,LUAD
GSM1855089,C2,LUAD
GSM1855091,C2,LUAD
GSM1855092,C2,LUAD
GSM1855093,C2,LUAD
GSM1855095,C2,LUAD
GSM1855097,C2,LUAD
GSM1855098,C2,LUAD
GSM1855099,C2,LUAD
GSM1855102,C2,LUAD
GSM1855105,C2,LUAD
GSM1855106,C2,LUAD
GSM1855107,C2,LUAD
GSM1855109,C2,LUAD
GSM1855110,C2,LUAD
GSM1855112,C2,LUAD
GSM1855113,C2,LUAD
GSM1855121,C2,LUAD
GSM1855125,C2,LUAD
GSM1855127,C2,LUAD
GSM1855128,C2,LUAD
GSM1855129,C2,LUAD
GSM1855132,C2,LUAD
GSM1855133,C2,LUAD
GSM1855134,C2,LUAD
GSM1855136,C2,LUAD
GSM1855138,C2,LUAD
GSM1855140,C2,LUAD
GSM1855141,C2,LUAD
GSM1855142,C2,LUAD
GSM1855143,C2,LUAD
GSM1855145,C2,LUAD
GSM1855146,C2,LUAD
GSM1855147,C2,LUAD
GSM1855149,C2,LUAD
GSM1855152,C2,LUAD
GSM1855156,C2,LUAD
GSM1855157,C2,LUAD
GSM1855159,C2,LUAD
GSM1855161,C2,LUAD
GSM1855162,C2,LUAD
GSM1855165,C2,LUAD
GSM1855168,C2,LUAD
GSM1855169,C2,LUAD
GSM1855172,C2,LUAD
GSM1855175,C2,LUAD
GSM1855176,C2,LUAD
GSM1855177,C2,LUAD
GSM1855180,C2,LUAD
GSM1855183,C2,LUAD
GSM1855184,C2,LUAD
GSM1855185,C2,LUAD
GSM1855188,C2,LUAD
GSM1855190,C2,LUAD
GSM1855192,C2,LUAD
GSM1855193,C2,LUAD
GSM1855195,C2,LUAD
GSM1855196,C2,LUAD
GSM1855207,C2,LUAD
GSM1855208,C2,LUAD
GSM1855212,C2,LUAD
GSM1855214,C2,LUAD
GSM1855215,C2,LUAD
GSM1855217,C2,LUAD
GSM1855218,C2,LUAD
GSM1855221,C2,LUAD
GSM1855222,C2,LUAD
GSM1855224,C2,LUAD
GSM1855225,C2,LUAD
GSM1855226,C2,LUAD
GSM1855228,C2,LUAD
GSM1855229,C2,LUAD
GSM1855232,C2,LUAD
GSM1855234,C2,LUAD
GSM1855236,C2,LUAD
