SampleName,BCL2A1,DUSP2,FTL,HLA-E,HMGB2,ID2,JUNB,LGMN,LYZ,MALAT1,NFKB1,NR4A2,NR4A3,PIM3,PLA2G7,ZFP36,ZNF331,Group,CODE
TCGA-MP-A4SW-01,31.39698214,13.94338027,14597.32,793.1634032,66.12789008,46.25774573,229.6119958,253.9244687,709.3985554,43.21522939,43.8079143,12.17388237,3.610105961,110.4911811,19.51850889,419.9385413,9.072135239,Tumor,LUAD
TCGA-55-8092-01,12.28551515,8.408819208,5801.988073,2861.840072,53.60753703,37.30814857,250.504812,56.77085212,774.6045657,64.07301591,23.12601176,25.13356523,1.709018199,211.0964952,13.73787969,324.8058378,11.14477693,Tumor,LUAD
TCGA-55-7907-01,26.64469468,10.53941829,10563.15839,640.5010325,55.17960871,30.70483863,130.7317552,339.6390933,970.6076526,45.07351068,36.88749239,6.903730781,1.838205417,69.17010376,19.74908036,222.8187186,10.73703239,Tumor,LUAD
TCGA-05-5429-01,9.995318332,7.199009037,6275.71563,664.0027159,66.24644856,85.83961252,626.9783101,148.0902074,5105.011567,2.607430914,29.87985691,17.07292085,6.879762516,101.3185197,3.730977043,319.7076332,5.973090831,Tumor,LUAD
TCGA-55-A493-01,53.11966568,25.0800112,7701.7908,730.145083,331.4387405,61.32678255,278.6036046,146.3761031,410.9722714,44.26751657,54.69688946,3.701907111,3.317593977,210.3691867,10.8175617,145.8644237,16.26342265,Tumor,LUAD
TCGA-75-5146-01,14.65592842,9.274651039,17790.7105,817.3269682,78.36807546,84.94933564,149.4563817,166.1231754,407.0396486,5.284443671,20.39068761,10.58884771,5.117560349,281.9709903,9.327633607,223.0633379,6.778604243,Tumor,LUAD
TCGA-50-5946-01,6.361124926,6.945418413,5241.215277,289.9054519,302.2282863,37.87515639,160.9512477,160.2736923,126.2139057,83.50298964,26.40061179,18.93979894,2.447438979,129.6390619,13.12679402,259.4199664,14.6869272,Tumor,LUAD
TCGA-55-7995-01,36.48545509,20.80413889,48706.89042,1083.733514,145.8217961,58.90779633,175.636777,200.3574989,3109.304209,64.79950955,50.38100545,7.378225195,1.357840469,182.3514971,39.88254434,219.9878872,3.554835659,Tumor,LUAD
TCGA-78-7163-01,2.642907947,8.725465611,9842.516817,1077.932755,33.11512636,10.53541701,330.4536821,84.78415383,11.59595125,128.0563291,56.74244737,7.073792754,0.211636544,64.80254338,0.532723363,144.8779868,8.984835397,Tumor,LUAD
TCGA-78-7149-01,5.19081577,6.239884967,16879.16502,772.8561001,31.82362313,31.78374762,129.435011,97.93595751,58.59719727,13.7533265,16.14200251,26.85604862,2.521401019,325.979649,2.334596504,138.1489053,7.135562235,Tumor,LUAD
TCGA-49-6742-01,7.695509582,7.042910017,12188.92209,779.4152289,103.6530796,26.72707726,481.2076342,120.9196314,295.9288198,33.54881227,25.89439967,63.96652593,11.84556634,212.9951746,7.294352075,758.37487,3.055037126,Tumor,LUAD
TCGA-38-4626-01,55.78643823,13.69951557,46184.6431,1220.633398,50.93002734,70.30945166,480.8000056,578.3807147,503.4201906,43.13210751,41.18155434,44.01025671,48.28536577,206.5968527,145.2074231,857.0391201,42.06313632,Tumor,LUAD
TCGA-J2-8194-01,26.22511034,9.289977989,18211.73594,698.6731584,31.91204555,43.74497332,397.5058884,154.0076382,226.9798426,44.62094461,43.92962473,58.67473587,15.33042638,308.0747382,13.23271185,1124.579872,19.37603114,Tumor,LUAD
TCGA-49-4512-01,22.81947212,4.691039821,13498.6515,569.7290116,46.25046256,34.90393039,127.3442707,122.3718335,551.2782453,93.03353206,17.21812613,4.090207403,0.787152523,108.520425,12.26574785,182.9417446,3.177801169,Tumor,LUAD
TCGA-91-6830-01,28.74834074,10.67585441,15379.54103,1866.675836,55.92224135,97.21563753,404.6764737,137.0049729,667.8703163,65.32665671,31.53190466,11.7913426,4.938893054,102.6677962,30.23859356,710.4913896,9.166619042,Tumor,LUAD
TCGA-50-6590-01,32.7017875,16.19403339,19238.63661,1136.640459,134.0216509,38.05544542,349.2779179,154.3297317,1206.192517,24.06004771,42.39885092,5.488038703,2.180726558,65.11788283,49.95743014,100.8177988,7.686568844,Tumor,LUAD
TCGA-55-A494-01,2.01915848,9.178452818,5324.355331,363.6201521,80.72085092,28.98363089,362.9956651,159.8905596,17.2100361,138.0138213,28.38603688,20.8305299,2.010874869,212.2744531,2.870853325,669.6106005,10.29822406,Tumor,LUAD
TCGA-L9-A743-01,48.29405527,38.49029816,13342.06489,1111.505314,110.953342,63.37398344,829.0016479,181.0822163,1070.368785,59.13494937,53.83060316,36.43799147,23.976022,206.3220809,31.0816575,1300.077841,15.66637029,Tumor,LUAD
TCGA-55-8085-01,33.04584697,15.88754252,18862.38627,1265.368319,165.5678366,76.38281732,158.4266127,152.8117405,805.8797243,93.3740494,36.46824617,19.95523566,2.758970942,246.4745116,37.61481286,108.8498357,10.8199643,Tumor,LUAD
TCGA-50-5055-01,65.88033046,58.36174982,12934.83568,1515.369188,107.6047631,106.1802036,433.3874589,101.5890522,659.6239145,4.488645782,37.81671247,6.752476895,9.718259794,116.0183491,22.29232763,279.1934609,5.736755794,Tumor,LUAD
TCGA-55-7914-01,6.138620501,15.62518723,7389.679381,1685.378073,90.70495508,81.82471229,186.8617738,601.2410244,394.7228589,51.04993717,68.52358608,12.54100304,1.192488666,85.9512946,12.19109556,116.1596739,9.096481377,Tumor,LUAD
TCGA-44-7667-01,16.90971002,8.130535566,19763.19947,215.2518574,411.1401,44.8131681,112.8720332,80.05829743,177.8868575,2.58521966,30.19384407,3.210580815,0.790055937,240.4350723,25.22443289,73.45064826,4.154538866,Tumor,LUAD
TCGA-75-7031-01,14.44449947,10.85580395,11272.56367,678.2278853,118.961169,75.46313475,95.71853763,156.1333726,224.0842603,48.79797686,25.60169313,18.58532088,7.914533932,269.2790142,15.31692547,219.7108245,1.50928907,Tumor,LUAD
TCGA-62-A46O-01,3.499614894,2.308372253,6546.052302,223.3635307,80.91149883,61.52301709,250.1662109,107.6651644,40.26760533,114.2532304,20.8775563,122.928194,9.400626145,234.397257,5.923420341,165.1185877,19.94643479,Tumor,LUAD
TCGA-44-3918-01,18.93215585,10.73685461,3347.684933,402.9250391,26.57332588,53.46230322,104.3851912,70.88242259,654.1531548,4388.818919,31.25242206,36.53951372,28.94700364,25.08121404,39.08186123,229.3098219,14.95958096,Tumor,LUAD
TCGA-55-8511-01,16.55636842,28.0771665,12513.09227,1028.659548,124.2320143,26.04598712,774.1611852,284.788982,884.9555873,41.51162793,59.59352369,17.16116957,8.258913536,193.5770368,33.83250237,507.6221541,13.91790775,Tumor,LUAD
TCGA-93-A4JQ-01,25.60210261,34.50059986,10334.11034,1045.426304,83.21567761,56.8295859,460.8906685,173.6853505,648.1601285,72.11623147,45.20840414,12.13248783,3.099758461,95.13366019,19.59411196,465.1221566,9.89144622,Tumor,LUAD
TCGA-91-A4BD-01,23.87782894,8.092488906,12175.31925,744.4352199,57.79423047,30.97455904,175.7885169,169.0921084,1440.550238,20.27824135,21.42350687,10.33005838,1.79849876,155.1799432,25.10063265,199.9471562,7.687864461,Tumor,LUAD
TCGA-83-5908-01,58.06984846,96.54057869,10427.36586,1789.033271,435.3801344,70.76618406,219.2703293,310.2541368,386.3505124,101.6970895,89.02093796,15.59555851,3.70026855,86.89996931,63.68278145,597.4480711,24.49826966,Tumor,LUAD
TCGA-MP-A4T9-01,32.60900724,9.66472141,23519.83258,744.4475867,52.14158519,60.9089989,341.7710425,429.1102234,865.1741458,33.35235998,32.34890534,17.69791506,16.65753016,135.8257119,29.79381303,388.0718469,15.39326537,Tumor,LUAD
