CODE,Group,hsa-mir-106b,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-130b,hsa-mir-146a,hsa-mir-150,hsa-mir-155,hsa-mir-221,hsa-mir-3185,hsa-mir-4256,hsa-mir-4746,hsa-mir-511,hsa-mir-548f-1,hsa-mir-5682,hsa-mir-6127,hsa-mir-6863,hsa-mir-7-3,SampleName
LUAD,Tumor,7.990920103,5.5781583,5.085138698,3.532943404,7.640137088,8.084684061,8.398175671,6.363632746,0,0,0.85874731,3.254195826,0,0,0,0,0,TCGA-05-4249-01
LUAD,Tumor,8.658069306,4.740615572,4.16566469,4.521568092,8.996227841,9.433439869,7.997279359,7.652664067,0,0,1.36129674,3.243891743,0,0,0,0,0.957168735,TCGA-67-4679-01B
LUAD,Tumor,9.176164084,5.809337239,5.623066827,2.658952466,6.520588856,8.985924911,8.18342681,8.279109109,0,0,0.669605542,4.38777851,0,0,0,0,0.797675428,TCGA-49-6742-11A
LUAD,Tumor,9.171560008,4.281451079,3.854892812,6.374781966,3.993947569,6.487352682,4.94794817,5.707103511,0,0,0.370503567,2.837719052,0,0,0,0,0.665036147,TCGA-55-A494-01
LUAD,Tumor,8.980172945,6.550602678,6.165369761,4.020792063,8.467752836,11.78934921,10.24836479,9.323395599,0,0,1.465480338,3.583014389,0,0,0,0.142244814,0.602270628,TCGA-64-5778-01
LUAD,Tumor,9.647542046,6.732887667,6.280230498,5.626766656,6.728336354,7.908142558,8.684420785,8.280301178,0,0,2.508519927,5.561740035,0,0,0,0,0.416867839,TCGA-95-8494-01
LUAD,Tumor,8.933490499,5.947175085,5.631080878,4.556088843,7.683846828,6.718159676,8.101489336,8.749625127,0,0,0.79186657,3.992658684,0,0,0,0,0.524854032,TCGA-55-7726-01
LUAD,Tumor,9.69615209,6.986595914,6.539007522,5.400921504,7.890991139,12.02485162,10.00526407,8.456243361,0,0,1.7970437,5.38676681,0.867916227,0,0,0,0.498263124,TCGA-78-8660-01
LUAD,Tumor,9.616587414,6.20825188,5.939725839,4.79271805,8.273571575,9.715951457,7.946415897,9.046946832,0,0,0.617624792,2.399110376,0.180895119,0,0,0,0.486209792,TCGA-49-4490-01
LUAD,Tumor,9.417576276,7.004847328,6.702444988,4.814721137,6.003241473,9.184546279,6.414257044,7.533632849,0,0,1.099549042,3.215035375,0,0,0,0,0.652086271,TCGA-J2-8194-01
LUAD,Tumor,9.340797707,4.835420559,4.415119708,4.900236037,8.219879042,9.797364183,9.981806899,8.241928219,0,0,0.727661726,4.992306187,0,0,0,0,1.569423039,TCGA-44-2659-01
LUAD,Tumor,8.604820339,6.433277416,6.155102672,4.342566976,5.013197593,7.266108586,5.884142037,7.543800931,0,0,0.478853797,3.84635591,0,0,0,0,0.669438646,TCGA-78-7633-01
LUAD,Tumor,9.089011398,6.64575082,6.300681068,4.940094379,7.594870463,11.86262109,9.797508556,7.699504,0,0,0.863358085,5.355414847,0.268814032,0,0,0,0.495320627,TCGA-55-8299-01
LUAD,Tumor,8.336581797,6.035078662,5.671135081,4.566370955,7.440522306,10.62254952,9.703780489,8.525520676,0,0,0.542901856,5.631794288,0.542901856,0,0,0,0.816804475,TCGA-67-6217-01
LUAD,Tumor,9.620974335,6.643836511,6.627652914,6.037770959,7.353860126,9.136075915,9.78455048,9.581085228,0,0,1.418576414,6.770846564,0.35486849,0,0,0,0.639453529,TCGA-50-5044-01
LUAD,Tumor,9.561883603,5.839776267,5.486321568,5.041065438,7.173799292,10.02019955,7.914332728,7.95684476,0,0,1.177936284,3.729505786,0,0,0,0,0.927370087,TCGA-MP-A4T6-01
LUAD,Tumor,8.711875323,5.573204693,5.161095433,3.808699505,8.34598158,9.599667866,8.279428096,7.687432081,0,0,1.409367581,2.577397647,0,0,0,0,0.77383011,TCGA-50-5942-01
LUAD,Tumor,8.8196003,5.682986159,5.419048865,4.994345109,7.721700982,9.150055991,9.314776934,7.816860807,0,0,1.514567691,4.184158795,0,0,0,0,0.30116736,TCGA-55-A48Z-01
LUAD,Tumor,9.269251152,5.270214617,5.006266737,4.156401147,7.88831289,8.673612057,9.307439359,8.096342514,0,0,1.42395782,4.222932661,0.356745559,0,0,0,0.880962089,TCGA-55-7816-01
LUAD,Tumor,9.512680153,6.2849373,5.945650633,5.208632043,6.734709688,10.72354451,8.639950206,8.166187029,0,0,0.653857981,5.042878713,0,0,0,0,0,TCGA-86-8280-01
LUAD,Tumor,9.834175997,5.395657651,5.194469547,5.521462468,8.038519242,9.343830244,8.846099734,7.234524016,0,0,1.674396922,5.758958116,0,0,0,0,0.630372852,TCGA-49-4494-01
LUAD,Tumor,10.97284237,7.284702111,7.042638231,5.33564121,6.604953311,7.809113918,8.840107886,8.856408864,0,0,3.906435017,5.17595946,2.707748069,0,0,0,2.08906148,TCGA-78-7146-01
LUAD,Tumor,9.168570652,6.052903782,5.581883693,4.380192909,4.877984728,8.354084184,7.289901233,10.04577516,0,0,0.670630985,2.759101492,0.670630985,0,0,0,0,TCGA-95-7948-01
LUAD,Tumor,10.06646453,7.377759587,7.093702415,5.086665787,6.855784338,7.916720043,8.519836097,8.151748227,0,0,0.492802782,4.416757271,2.453894435,1.944944256,0,0,1.602113816,TCGA-55-7570-01
LUAD,Tumor,8.946339197,6.007828022,5.531341501,2.814173448,6.698571606,9.6248582,8.572842606,8.242982478,0,0,1.326704732,5.765362037,0,0,0,0,0.380350442,TCGA-50-5930-11A
LUAD,Tumor,8.775710148,6.241582447,5.765828003,5.22242027,8.733230333,11.28753514,9.319320582,7.932253086,0,0,2.154367715,4.086357823,0,0,0,0,0.240827196,TCGA-49-AAQV-01
LUAD,Tumor,9.168042522,6.365319989,5.695906147,5.084923331,9.914899201,12.49977918,10.4493914,9.04875792,0,0,1.199661667,5.49483754,0.332704497,0,0,0,0,TCGA-86-8671-01
LUAD,Tumor,9.428614977,6.405548135,6.037109099,4.05128552,5.0397029,8.194918609,7.100586718,7.644914098,0,0,1.387742467,3.439238412,0,0,0,0,0.667108249,TCGA-91-6829-01
LUAD,Tumor,8.696209885,6.498873741,6.177568594,5.627375796,5.239861336,7.799225363,7.214222326,7.717144152,0,0,1.125168359,3.40856446,0.419545363,0,0,0,0.590969862,TCGA-05-5428-01
LUAD,Tumor,8.588188398,6.183799772,5.798357068,3.435468849,7.997449468,11.47041602,9.73673667,8.464260087,0,0,0.945833902,5.641220895,0,0,0,0,0.245203565,TCGA-91-8497-01
LUAD,Tumor,8.948905826,5.930813775,5.692217524,5.476093736,6.50229801,8.389755981,7.114276104,8.246255482,0,0,1.789217176,4.615300816,0,0,0,0,0.908613107,TCGA-78-7145-01
LUAD,Tumor,8.779693134,6.723720528,6.601309973,5.591082788,6.093090814,8.385702708,6.795541171,7.593861404,0,0,1.425383569,3.04425334,0,0,0,0,1.425383569,TCGA-69-7973-01
LUAD,Tumor,9.515221314,5.963239228,5.469745183,5.075552911,5.386213815,8.684426834,7.723462329,6.719647449,0,0,1.520920537,3.573716859,0,0,0,0,0.391354205,TCGA-MP-A4T8-01
LUAD,Tumor,8.449000694,7.384393192,6.970051047,5.070787259,6.576147327,6.29190221,8.561870161,9.908509013,0,0,1.331538985,1.534005807,0.81422637,0,0,0,2.56786374,TCGA-49-AAR9-01
LUAD,Tumor,9.019723756,6.488584883,6.238042587,3.936901628,7.002004269,9.845946581,7.979861542,7.470438348,0,0,0.698133114,4.561571942,0,0,0,0,0,TCGA-86-8669-01
LUAD,Tumor,9.708281825,6.661301723,6.331037576,4.777309083,6.626966631,10.47913388,9.635883612,7.822907141,0,0,1.855385791,4.752042536,0,0,0,0,0.308062589,TCGA-55-8092-01
LUAD,Tumor,10.22344411,6.66133881,6.363474253,5.88503916,8.980141803,10.00167,8.307449118,9.612945059,0,0,1.965287081,4.706346378,0.272014826,0,0,0,0.272014826,TCGA-75-6214-01
LUAD,Tumor,8.963131435,6.181722025,6.03369799,4.556003963,8.374027708,11.14276342,9.200578142,8.43766473,0,0,0.851515193,4.987679767,0,0,0,0,0.402458059,TCGA-49-6744-01
LUAD,Tumor,7.898668906,4.696376199,4.033120775,3.61082902,7.056501323,7.296534404,7.444946555,7.492318066,0,0,0.501258749,2.678257189,0,0,0,0,1.167578876,TCGA-64-1680-01
LUAD,Tumor,8.205101655,6.335366235,5.818342891,4.843685931,9.115605024,8.389160739,7.326405226,9.549360919,0,0,0.646709211,4.694105943,0,0,0,0,0,TCGA-55-8091-01
LUAD,Tumor,8.476046049,6.27671391,5.919121492,3.621268304,5.836842086,8.363546108,7.829653161,9.458561797,0,0,2.080737129,4.014109496,0.582034708,0,0,0,0.582034708,TCGA-73-4676-01
LUAD,Tumor,8.621696891,6.258840537,5.915003986,5.446630223,7.047152089,9.032570676,9.302919613,9.694467235,0,0,0.79291614,5.27073042,0,0,0,0,0.315207976,TCGA-55-6982-01
LUAD,Tumor,10.44486869,7.308249844,6.959616084,5.475537373,7.642987498,9.02464906,8.866679946,7.054033269,0,0,2.725113562,3.730805028,0.433769226,0.76681987,0,0,0,TCGA-4B-A93V-01
LUAD,Tumor,8.639035038,6.216759495,5.56011917,5.42879825,9.68656943,11.34169592,10.49727685,9.316910421,0,0,2.02810975,6.256032582,0.597523547,0,0,0,0.597523547,TCGA-62-A46Y-01
LUAD,Tumor,8.426774003,5.386694257,4.693625115,4.818871518,7.875008511,9.176957602,10.1467333,8.780953964,0,0,1.26793065,6.441246237,0,0,0,0,0.555213434,TCGA-44-2656-01
