CODE,Group,DMPss,DNAss,ENHss,EREG.EXPss,EREG-METHss,RNAss,SampleName
ACC,Tumor,0.076903682,0.173748666,0.329306278,0.642082234,0.209643312,0.430990736,TCGA-OR-A5JL-01
ACC,Tumor,0.06160843,0.080939665,0.104916254,0.550512407,0.103868594,0.414493409,TCGA-OR-A5JG-01
ACC,Tumor,0.037808446,0.042391058,0.037042084,0.493007645,0.079614169,0.372420433,TCGA-OR-A5LO-01
ACC,Tumor,0.063097651,0.16724301,0.22312649,0.431661635,0.245090765,0.354513802,TCGA-OR-A5L3-01
ACC,Tumor,0.07450925,0.166241845,0.221048469,0.4840847,0.235078751,0.367768118,TCGA-OR-A5LC-01
ACC,Tumor,0.035095038,0.070849007,0.118767606,0.511949338,0.102864721,0.240704438,TCGA-P6-A5OF-01
ACC,Tumor,0.061408366,0.154280903,0.157749537,0.384898969,0.239241111,0.32855664,TCGA-OR-A5KX-01
ACC,Tumor,0.133078037,0.255043964,0.333442834,0.496578342,0.36361498,0.395513374,TCGA-OR-A5K4-01
ACC,Tumor,0.041494356,0.097193078,0.165204819,0.45809083,0.14379953,0.302613174,TCGA-OR-A5J1-01
ACC,Tumor,0.084259734,0.173519645,0.24310183,0.298973893,0.243870606,0.328426607,TCGA-OR-A5JT-01
ACC,Tumor,0.045475541,0.131767398,0.112377091,0.542649175,0.228089717,0.425347663,TCGA-OR-A5JB-01
ACC,Tumor,0.0963927,0.15447433,0.226419787,0.610704904,0.195842904,0.384555907,TCGA-OR-A5JY-01
ACC,Tumor,0.055141255,0.139486806,0.158520372,0.361550962,0.214420494,0.332226729,TCGA-OR-A5JR-01
ACC,Tumor,0.0522031,0.147678305,0.261640597,0.42597875,0.192342041,0.369785164,TCGA-OR-A5KV-01
ACC,Tumor,0.047796437,0.116357509,0.202299569,0.42863151,0.161257292,0.348198231,TCGA-OR-A5K6-01
ACC,Tumor,0.03563421,0.090311499,0.13141111,0.608656245,0.134794471,0.395123328,TCGA-OR-A5JS-01
ACC,Tumor,0.078580773,0.16129352,0.239007446,0.47753876,0.214288838,0.276839614,TCGA-OR-A5LP-01
ACC,Tumor,0.038571295,0.080526026,0.113886113,0.248152811,0.12238243,0.289428313,TCGA-OR-A5LK-01
ACC,Tumor,0.162848672,0.243743537,0.344782958,0.527621955,0.297174454,0.325337923,TCGA-OR-A5JK-01
ACC,Tumor,0.044903648,0.106478157,0.174519913,0.469761349,0.142821619,0.330564099,TCGA-OR-A5JD-01
ACC,Tumor,0.102562004,0.195999665,0.285096834,0.529225687,0.249264054,0.378284708,TCGA-OR-A5L4-01
ACC,Tumor,0.06045838,0.166756993,0.222331863,0.694449154,0.244859953,0.312593904,TCGA-OR-A5KT-01
ACC,Tumor,0.042233112,0.158910496,0.211737918,0.592320123,0.24316589,0.248038974,TCGA-PK-A5H9-01
ACC,Tumor,0.074917028,0.156180829,0.209265245,0.518135126,0.226701491,0.376828982,TCGA-OR-A5K0-01
BLCA,Tumor,0.053875341,0.155808824,0.141551804,0.564415319,0.245762528,0.386002292,TCGA-MV-A51V-01
BLCA,Tumor,0.06590603,0.177498897,0.172074152,0.566274914,0.269519352,0.361149099,TCGA-FD-A3SR-01
BLCA,Tumor,0.048216356,0.178587824,0.156564564,0.458631815,0.295430921,0.387693109,TCGA-DK-A6B0-01
BLCA,Tumor,0.090630018,0.186020185,0.205333864,0.527660999,0.267801984,0.302144163,TCGA-FD-A5BS-01
BLCA,Tumor,0.25068854,0.374122562,0.417287992,0.7858136,0.476288536,0.46569019,TCGA-DK-A1AD-01
BLCA,Tumor,0.143985002,0.255358535,0.287678177,0.559471526,0.341655677,0.410437338,TCGA-XF-AAMQ-01
BLCA,Tumor,0.134932177,0.233170055,0.30565196,0.664884971,0.311406307,0.378312042,TCGA-FT-A3EE-01
BLCA,Tumor,0.146794366,0.267196767,0.225810591,0.643529194,0.381861363,0.591012705,TCGA-ZF-AA4T-01
BLCA,Tumor,0.131140557,0.264103028,0.3437247,0.637307266,0.35303285,0.392360612,TCGA-E7-A3X6-01
BLCA,Tumor,0.07844427,0.188459845,0.214488766,0.735205307,0.278453146,0.407552239,TCGA-GU-A762-01
BLCA,Tumor,0.054340913,0.136180736,0.157690443,0.482672352,0.206555221,0.236366446,TCGA-FD-A43S-01
BLCA,Tumor,0.102361396,0.199243842,0.244100577,0.445164689,0.273588273,0.475938043,TCGA-XF-A8HE-01
BLCA,Tumor,0.128354745,0.218821868,0.24087207,0.669271979,0.303612441,0.501894531,TCGA-BT-A42F-01
BLCA,Tumor,0.235758331,0.389951114,0.375306345,0.814042027,0.527014539,0.456032261,TCGA-G2-A3IB-01
BLCA,Tumor,0.092674652,0.233867238,0.243495034,0.414561568,0.343180826,0.385343307,TCGA-CU-A3KJ-01
BLCA,Tumor,0.112347882,0.281978342,0.355441364,0.657963698,0.398099555,0.461936526,TCGA-DK-A3IS-01
